TextBlob_Analysis BI,TextBlob_Polarity BI,TextBlob_Subjectivity BI,TextBlob_Subjectivity TIn,TextBlob_Polarity TIn,TextBlob_Analysis TIn,TextBlob_Polarity BIM,TextBlob_Subjectivity BIM,TextBlob_Analysis BIM,TextBlob_Subjectivity TIm,TextBlob_Polarity TIm,TextBlob_Analysis TIm
Positive,0.166091825,0.438144911,0.35,-0.166666667,Negative,0.098888394,0.524633944,Positive,0.444179179,0.138729452,Positive
Positive,0.03676236,0.500757576,0.550529101,-0.067989418,Negative,0.049767586,0.419742374,Positive,0.499665117,0.129389658,Positive
Positive,0.102494975,0.415190167,0.450555223,0.108372794,Positive,-0.027636878,0.447531521,Negative,0.5012007,0.142263662,Positive
Positive,0.066666667,0.433333333,0.51847588,0.094590291,Positive,0.142489038,0.484070218,Positive,0.083333333,0.016666667,Positive
Positive,0.097572486,0.407993557,0.478703256,0.116584634,Positive,-0.134848485,0.64469697,Negative,0.413305322,0.082072829,Positive
Positive,0.02503581,0.603401929,0.418137342,0.132777382,Positive,-0.20952381,0.223809524,Negative,0.265584416,0.114285714,Positive
Positive,0.069938258,0.449403465,0.462772089,0.17548063,Positive,-0.010714286,0.361607143,Negative,0.363333333,0.306666667,Positive
Positive,0.148893329,0.45982758,0.397222222,0.14375,Positive,0.08515214,0.398742785,Positive,0.7,0.225,Positive
Positive,0.053897407,0.338972763,0.548650794,0.229206349,Positive,-0.4,0.4,Negative,0.473713006,0.1026298,Positive
Positive,0.032763495,0.403494125,0.483796296,0.027083333,Positive,-0.004398148,0.424305556,Negative,0.470518793,0.147325036,Positive
Negative,-0.052380952,0.289115646,0.424167666,0.075144735,Positive,0.031111566,0.402541714,Positive,0.388095238,0.070833333,Positive
Negative,-0.2,0.266666667,0.472404762,0.185279446,Positive,0.14015873,0.284603175,Positive,0.546626723,0.062811343,Positive
Positive,0.022113095,0.374623016,0.459867106,0.112328216,Positive,0.066500428,0.470596874,Positive,0.570700807,0.100511274,Positive
Positive,0.005503935,0.38925458,0.417962891,0.077561414,Positive,0.14459993,0.516100918,Positive,0.479192577,0.101756515,Positive
Positive,0.132201,0.502915885,0.42430174,0.064604406,Positive,0.065800866,0.284513367,Positive,0.523742138,0.100168464,Positive
Positive,0.129580201,0.474732285,0.41578491,0.064000583,Positive,0.063727335,0.444797352,Positive,0.5625,-0.3125,Negative
Positive,0.113541186,0.474907891,0.409853248,0.100958055,Positive,0.067998013,0.37548719,Positive,0.525,0.002777778,Positive
Positive,0.039252361,0.471378269,0.554140775,0.230838028,Positive,0.073249749,0.495946197,Positive,0.632063492,0.356880952,Positive
Positive,0.054802855,0.411751687,0.403418942,0.118808691,Positive,-0.020030585,0.383595191,Negative,0.479640219,0.166676358,Positive
